county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max
San Joaquin,2021,3030,1.23,3288455,8.35,6,9,15,12500,27000,39500
San Joaquin,2022,2060,1.3,779233,1.97,6,7,13,12500,11500,24000
San Luis Obispo,2015,271,0.42,857037,2.2,0,6,6,0,25500,25500
San Luis Obispo,2016,265,0.37,863546,2.21,0,6,6,0,25500,25500
San Luis Obispo,2017,372,0.4,868879,2.21,0,6,6,0,25500,25500
San Luis Obispo,2018,740,0.48,872338,2.21,0,6,6,0,25500,25500
San Luis Obispo,2019,641,0.44,872205,2.21,0,6,6,0,25500,25500
San Luis Obispo,2020,785,0.55,870985,2.2,0,9,9,0,27000,27000
San Luis Obispo,2021,1343,0.54,855550,2.17,0,9,9,0,27000,27000
San Luis Obispo,2022,778,0.49,282424,0.71,0,7,7,0,11500,11500
San Mateo,2015,2827,4.42,729411,1.87,1,6,7,5000,25500,30500
San Mateo,2016,3001,4.14,739814,1.89,1,6,7,5000,25500,30500
San Mateo,2017,3416,3.68,750306,1.91,1,6,7,5000,25500,30500
San Mateo,2018,6827,4.41,759753,1.92,1,6,7,5000,25500,30500
San Mateo,2019,6042,4.13,771083,1.95,5,6,11,19507,25500,45007
San Mateo,2020,5489,3.82,780676,1.97,5,9,14,19507,27000,46507
San Mateo,2021,8250,3.34,786700,2.0,7,9,16,19507,27000,46507
San Mateo,2022,7658,4.82,764442,1.93,7,7,14,19507,11500,31007
Santa Barbara,2015,347,0.54,279800,0.72,0,6,6,0,25500,25500
Santa Barbara,2016,510,0.7,281681,0.72,0,6,6,0,25500,25500
Santa Barbara,2017,655,0.71,282103,0.72,0,6,6,0,25500,25500
Santa Barbara,2018,1081,0.7,282952,0.72,0,6,6,0,25500,25500
Santa Barbara,2019,946,0.65,282617,0.71,0,6,6,0,25500,25500
Santa Barbara,2020,1287,0.9,282996,0.72,0,9,9,0,27000,27000
Santa Barbara,2021,1948,0.79,278607,0.71,0,9,9,0,27000,27000
Santa Barbara,2022,1084,0.68,448229,1.13,0,7,7,0,11500,11500
Santa Clara,2015,9821,15.35,761484,1.96,1,6,7,5000,25500,30500
Santa Clara,2016,10482,14.47,764070,1.95,1,6,7,5000,25500,30500
Santa Clara,2017,12688,13.68,765601,1.95,1,6,7,5000,25500,30500
Santa Clara,2018,22311,14.41,766711,1.94,1,6,7,5000,25500,30500
Santa Clara,2019,19906,13.61,766312,1.94,4,6,10,15057,25500,40557
Santa Clara,2020,15281,10.63,763497,1.93,4,9,13,15057,27000,42057
Santa Clara,2021,22826,9.23,756655,1.92,4,9,13,15057,27000,42057
Santa Clara,2022,13876,8.74,1936259,4.9,4,7,11,15057,11500,26557
Santa Cruz,2015,591,0.92,442188,1.14,1,6,7,5000,25500,30500
Santa Cruz,2016,573,0.79,444277,1.14,1,6,7,5000,25500,30500
Santa Cruz,2017,682,0.74,445801,1.13,1,6,7,5000,25500,30500
Santa Cruz,2018,1088,0.7,447666,1.13,1,6,7,5000,25500,30500
Santa Cruz,2019,964,0.66,448815,1.14,1,6,7,5000,25500,30500
Santa Cruz,2020,1006,0.7,448659,1.13,1,9,10,5000,27000,32000
Santa Cruz,2021,1508,0.61,443121,1.13,1,9,10,5000,27000,32000
Santa Cruz,2022,790,0.5,270861,0.69,1,7,8,5000,11500,16500
Shasta,2015,36,0.06,1914457,4.92,0,6,6,0,25500,25500
Shasta,2016,49,0.07,1925914,4.92,0,6,6,0,25500,25500
Shasta,2017,67,0.07,1932947,4.91,0,6,6,0,25500,25500
Shasta,2018,127,0.08,1937985,4.91,0,6,6,0,25500,25500
Shasta,2019,104,0.07,1936521,4.9,3,6,9,2500,25500,28000
Shasta,2020,151,0.11,1933516,4.89,3,9,12,2500,27000,29500
Shasta,2021,359,0.15,1913113,4.86,3,9,12,2500,27000,29500
Shasta,2022,207,0.13,182155,0.46,3,7,10,2500,11500,14000
Sierra,2015,1,0.0,274762,0.71,0,6,6,0,25500,25500
Sierra,2020,3,0.0,272360,0.69,2,9,11,500,27000,27500
Sierra,2021,1,0.0,267551,0.68,2,9,11,500,27000,27500
Sierra,2022,2,0.0,3236,0.01,2,7,9,500,11500,12000
Siskiyou,2015,7,0.01,180812,0.46,0,6,6,0,25500,25500
Siskiyou,2016,6,0.01,180287,0.46,0,6,6,0,25500,25500
Siskiyou,2017,14,0.02,181095,0.46,0,6,6,0,25500,25500
Siskiyou,2018,14,0.01,181472,0.46,0,6,6,0,25500,25500
Siskiyou,2019,11,0.01,181387,0.46,0,6,6,0,25500,25500
Siskiyou,2020,14,0.01,181881,0.46,0,9,9,0,27000,27000
Siskiyou,2021,37,0.01,182072,0.46,0,9,9,0,27000,27000
Siskiyou,2022,24,0.02,44076,0.11,0,7,7,0,11500,11500
Solano,2015,445,0.7,3213,0.01,2,6,8,5600,25500,31100
Solano,2016,389,0.54,3220,0.01,2,6,8,5600,25500,31100
Solano,2017,528,0.57,3233,0.01,2,6,8,5600,25500,31100
Solano,2018,972,0.63,3232,0.01,2,6,8,5600,25500,31100
Solano,2019,986,0.67,3233,0.01,4,6,10,15107,25500,40607
Solano,2020,960,0.67,3233,0.01,4,9,13,15107,27000,42107
Solano,2021,2082,0.84,3217,0.01,4,9,13,15107,27000,42107
Solano,2022,1175,0.74,453491,1.15,4,7,11,15107,11500,26607
Sonoma,2015,957,1.5,44655,0.11,1,6,7,5000,25500,30500
Sonoma,2016,997,1.38,44554,0.11,1,6,7,5000,25500,30500
Sonoma,2017,1595,1.72,44390,0.11,2,6,8,6000,25500,31500
