county,year,number_sales,sales_percentage,population,pop_percentage,county_count,state_count,total_incentives,county_max,state_max,total_max,previous_evs,household_income,importance_of_gge,homeowner,education,commute_distance,age,gender,number_of_vehicles,annual_miles
Trinity,2015,4,0.01,95844,0.25,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Trinity,2016,3,0.0,96517,0.25,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Trinity,2017,3,0.0,97771,0.25,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Tulare,2015,66,0.1,63509,0.16,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Tulare,2016,93,0.13,63999,0.16,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Tulare,2017,251,0.27,64141,0.16,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Tuolumne,2015,16,0.03,14228,0.04,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Tuolumne,2016,12,0.02,14840,0.04,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Tuolumne,2017,22,0.02,15498,0.04,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Ventura,2015,1169,1.83,459935,1.18,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Ventura,2016,1402,1.93,462223,1.18,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Ventura,2017,1831,1.97,465343,1.18,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Yolo,2015,222,0.35,55104,0.14,1,6,7,5000,25500,30500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Yolo,2016,225,0.31,55162,0.14,1,6,7,5000,25500,30500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Yolo,2017,331,0.36,55032,0.14,1,6,7,5000,25500,30500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
Yuba,2015,13,0.02,75748,0.19,0,6,6,0,25500,25500,1,204219.01,1.57,0.89,3.32,18.52,50.99,0.27,2.55,13170.26
Yuba,2016,15,0.02,76782,0.2,0,6,6,0,25500,25500,1,216141.5,1.61,0.85,3.34,18.83,49.27,0.25,2.41,12477.1
Yuba,2017,21,0.02,78181,0.2,0,6,6,0,25500,25500,1,185496.29,1.75,0.8,3.37,18.76,48.95,0.27,2.31,13239.44
