Data Year,County,FUEL_TYPE,MAKE,MODEL,Number of Vehicles,ZIP,Fuel Type
2015,Placer,PHEV,BMW,i3 REx,23,92651,BEV
2015,Placer,PHEV,BMW,i8,1,92653,BEV
2015,Placer,PHEV,Cadillac,ELR,2,92656,BEV
2015,Placer,PHEV,Chevrolet,Volt,66,92657,BEV
2015,Placer,PHEV,Ford,C-MAX Energi,15,92660,BEV
2015,Placer,PHEV,Ford,Fusion Energi,38,92661,BEV
2015,Placer,PHEV,Honda,Accord PHEV,1,92662,BEV
2015,Placer,PHEV,Porsche,Cayenne,1,92663,BEV
2015,Placer,PHEV,Porsche,Panamera,1,92672,BEV
2015,Placer,PHEV,Toyota,Prius PHEV,22,92673,BEV
2015,Plumas,PHEV,Ford,Fusion Energi,1,92675,BEV
2015,Riverside,BEV,BMW,i3,17,92676,BEV
2015,Riverside,BEV,Chevrolet,Spark EV,42,92677,BEV
2015,Riverside,BEV,FIAT,500e,187,92679,BEV
2015,Riverside,BEV,Ford,Focus,13,92683,BEV
2015,Riverside,BEV,Kia,Soul EV,15,92688,BEV
2015,Riverside,BEV,Mercedes-Benz,B-Class,16,92691,BEV
2015,Riverside,BEV,Mitsubishi,i-MiEV,1,92692,BEV
2015,Riverside,BEV,Nissan,Leaf,85,92694,BEV
2015,Riverside,BEV,Smart,Fortwo BEV Drive,13,92701,BEV
2015,Riverside,BEV,Tesla,Model S,259,92704,BEV
2015,Riverside,BEV,Toyota,RAV4 EV,2,92705,BEV
2015,Riverside,BEV,Volkswagen,e-Golf,40,92706,BEV
2015,Riverside,PHEV,BMW,i3 REx,82,92707,BEV
2015,Riverside,PHEV,BMW,i8,14,92708,BEV
2015,Riverside,PHEV,BMW,X5,3,92780,BEV
2015,Riverside,PHEV,Cadillac,ELR,5,92782,BEV
2015,Riverside,PHEV,Chevrolet,Volt,230,92801,BEV
2015,Riverside,PHEV,Ford,C-MAX Energi,148,92802,BEV
2015,Riverside,PHEV,Ford,Fusion Energi,274,92804,BEV
2015,Riverside,PHEV,Honda,Accord PHEV,5,92805,BEV
2015,Riverside,PHEV,Hyundai,Sonata PHEV,1,92806,BEV
2015,Riverside,PHEV,Mercedes-Benz,S-Class,4,92807,BEV
2015,Riverside,PHEV,Porsche,Cayenne,4,92808,BEV
2015,Riverside,PHEV,Porsche,Panamera,1,92821,BEV
2015,Riverside,PHEV,Toyota,Prius PHEV,147,92831,BEV
2015,Sacramento,BEV,BMW,i3,10,92832,BEV
2015,Sacramento,BEV,Chevrolet,Spark EV,80,92833,BEV
